,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Time Zone
0,Lata,40.16,-8.33,73.99,75,62,5.01,PT,3600
1,Puerto Ayora,-0.74,-90.35,70.0,77,87,10.0,EC,-21600
2,Saint Paul Harbor,57.79,-152.41,51.8,81,90,10.29,US,-28800
3,Presidencia Roque Sáenz Peña,-26.79,-60.44,81.99,17,0,6.98,AR,-10800
4,Bathsheba,13.22,-59.52,89.6,66,20,11.41,BB,-14400
5,Gorontalo,0.54,123.06,75.72,87,73,2.37,ID,28800
6,Qaanaaq,77.48,-69.36,15.17,82,0,7.07,GL,-10800
7,Butaritari,3.07,172.79,82.35,78,41,16.71,KI,43200
8,Khatanga,71.97,102.5,46.49,74,18,10.63,RU,25200
9,Ushuaia,-54.8,-68.3,42.8,75,40,21.92,AR,-10800
10,Mataura,-46.19,168.86,53.01,94,47,8.99,NZ,43200
11,Saint George,37.1,-113.58,87.01,26,1,5.82,US,-21600
12,Paamiut,61.99,-49.67,37.76,78,11,13.18,GL,-7200
13,Ponta do Sol,32.67,-17.1,79.0,42,100,3.0,PT,3600
14,Cape Town,-33.93,18.42,59.0,77,0,14.99,ZA,7200
15,Viloco,-16.95,-67.55,57.06,31,59,6.2,BO,-14400
16,George Town,5.41,100.34,78.8,88,40,4.7,MY,28800
17,Villanueva de la Serena,38.98,-5.8,75.0,55,92,8.99,ES,7200
18,Albany,42.6,-73.97,66.0,34,0,7.74,US,-14400
19,Busselton,-33.65,115.33,48.0,74,26,6.82,AU,28800
20,Esperance,-33.87,121.9,44.6,100,26,6.93,AU,28800
21,Batagay,67.63,134.63,38.25,76,57,0.87,RU,36000
22,Lebu,-37.62,-73.65,53.46,72,54,18.07,CL,-10800
23,Bambous Virieux,-20.34,57.76,69.8,77,40,6.93,MU,14400
24,Moose Factory,51.26,-80.61,69.8,64,75,10.29,CA,-14400
25,Rikitea,-23.12,-134.97,72.36,76,74,19.15,PF,-32400
26,Forestville,38.85,-76.88,71.01,37,1,8.05,US,-14400
27,Khovd,48.01,91.64,55.67,40,77,4.99,MN,25200
28,Puerto Madero,14.72,-92.42,89.6,75,40,5.82,MX,-18000
29,Yellowknife,62.46,-114.35,46.0,100,90,13.87,CA,-21600
30,Port Alfred,-33.59,26.89,60.96,78,29,13.47,ZA,7200
31,Zlynka,52.43,31.74,64.4,55,0,8.95,RU,10800
32,Yulara,-25.24,130.99,60.8,29,0,10.29,AU,34200
33,Arraial do Cabo,-22.97,-42.03,68.0,94,90,5.82,BR,-10800
34,Meulaboh,4.14,96.13,77.85,87,96,3.38,ID,25200
35,Henties Bay,-22.12,14.28,55.99,88,18,1.01,NA,7200
36,Kolpashevo,58.31,82.91,38.98,90,35,5.79,RU,25200
37,Atuona,-9.8,-139.03,78.78,71,43,21.0,PF,-34200
38,Nsanje,-16.92,35.26,77.4,56,40,9.31,MW,7200
39,Cradock,-32.16,25.62,61.59,27,0,2.8,ZA,7200
40,Hilo,19.73,-155.09,73.99,78,90,3.62,US,-36000
